"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","""MongoDB database as a service offering goes global"" https://t.co/hGQ9IwytFj https://t.co/lw5y5fI6Dq",FALSE,0,NA,2017-04-20 22:32:32,FALSE,NA,"855187456882356224",NA,"<a href=""http://engage.social"" rel=""nofollow"">Engage.Social</a>","badc0da",0,FALSE,FALSE,NA,NA
"2","Digital Marketing Intern @mongoDB New York NY https://t.co/tBNUWkYh1E #MongoDB #SEM #Internship",FALSE,1,NA,2017-04-20 22:30:23,FALSE,NA,"855186911744471040",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SiliconArmada",0,FALSE,FALSE,NA,NA
"3","RT @MongoDB: New to #MongoDB #Atlas: #Queryable Backups. Query your snapshots &amp; restore #data at the #document level in minutes. https://t.…",FALSE,0,NA,2017-04-20 22:30:20,FALSE,NA,"855186901116092418",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PazMacdonald",7,TRUE,FALSE,NA,NA
"4","RT @K0YCHEV: Easily Develop #NodeJS and #MongoDB #Apps with Mongoose https://t.co/2P0bpzefl1 via @scotch_io #javascript #programming #devel…",FALSE,0,NA,2017-04-20 22:29:58,FALSE,NA,"855186809252450304",NA,"<a href=""http://aaroncuddeback.com"" rel=""nofollow"">aarons-twitter-bot</a>","AaronCuddeback",4,TRUE,FALSE,NA,NA
"5","RT @K0YCHEV: Easily Develop #NodeJS and #MongoDB #Apps with Mongoose https://t.co/2P0bpzefl1 via @scotch_io #javascript #programming #devel…",FALSE,0,NA,2017-04-20 22:29:36,FALSE,NA,"855186715060908032",NA,"<a href=""https://github.com/brandonweis"" rel=""nofollow"">readbots</a>","brandonweis",4,TRUE,FALSE,NA,NA
"6","RT @K0YCHEV: Easily Develop #NodeJS and #MongoDB #Apps with Mongoose https://t.co/2P0bpzefl1 via @scotch_io #javascript #programming #devel…",FALSE,0,NA,2017-04-20 22:29:08,FALSE,NA,"855186600791162884",NA,"<a href=""http://web2news.com"" rel=""nofollow"">nodejsdigest</a>","nodejsdigest",4,TRUE,FALSE,NA,NA
"7","RT @lonestarsally: MongoDB database as a service offering goes global https://t.co/H44pxQdNvm #BigData https://t.co/eo5qcpHtmy",FALSE,0,NA,2017-04-20 22:26:49,FALSE,NA,"855186014377213953",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","cjiqbal",2,TRUE,FALSE,NA,NA
"8","RT @lonestarsally: MongoDB database as a service offering goes global https://t.co/H44pxQdNvm #BigData https://t.co/eo5qcpHtmy",FALSE,0,NA,2017-04-20 22:25:14,FALSE,NA,"855185617512267777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","healthcareIT001",2,TRUE,FALSE,NA,NA
"9","MongoDB database as a service offering goes global https://t.co/H44pxQdNvm #BigData https://t.co/eo5qcpHtmy",FALSE,2,NA,2017-04-20 22:24:34,FALSE,NA,"855185450394279936",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","lonestarsally",2,FALSE,FALSE,NA,NA
"10","Orient Me and mongoDB connection failures by Ben Williams https://t.co/xJv9qOytKu https://t.co/si4N1E9iSg",FALSE,0,NA,2017-04-20 22:22:04,FALSE,NA,"855184821449916416",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","planetlotus",0,FALSE,FALSE,NA,NA
